DBN,School Name,averageSATMath,averageSATReading,averageSATWriting
01M292,Henry Street School for International Studies,410,406,381
01M448,University Neighborhood High School,437,355,352
01M450,East Side Community School,454,428,445
01M509,Marta Valle High School,438,413,394
01M539,"New Explorations into Science, Technology and Math",657,601,601
01M696,Bard High School Early College,634,641,639
02M288,Food and Finance High School,428,435,421
02M294,Essex Street Academy,395,411,387
02M296,High School of Hospitality Management,451,433,424
02M298,Pace High School,430,435,427
02M300,"Urban Assembly School of Design and Construction,",445,417,403
02M303,"Facing History School, The",366,356,371
02M305,"Urban Assembly Academy of Government and Law, The",389,395,381
02M308,Lower Manhattan Arts Academy,418,428,415
02M316,"Urban Assembly School of Business for Young Women,",418,420,417
02M374,Gramercy Arts High School,446,459,455
02M376,NYC iSchool,518,515,503
02M392,MANHATTAN BUSINESS ACADEMY,410,407,399
02M393,BUSINESS OF SPORTS SCHOOL,395,386,371
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,446,433,411
02M400,High School for Environmental Studies,469,454,444
02M407,Institute for Collaborative Education,501,550,541
02M408,Professional Performing Arts High School,496,520,516
02M411,Baruch College Campus High School,592,526,531
02M412,N.Y.C. Lab School for Collaborative Studies,595,550,555
02M413,School of the Future High School,534,533,522
02M414,N.Y.C. Museum School,560,530,522
02M416,Eleanor Roosevelt High School,641,617,631
02M418,Millennium High School,577,560,567
02M419,Landmark High School,386,386,386
02M420,High School for Health Professions and Human Servi,452,445,430
02M425,Leadership and Public Service High School,390,396,392
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,350,334,321
02M437,Hudson High School of Learning Technologies,378,407,388
02M438,International High School at Union Square,403,330,316
02M439,Manhattan Village Academy,522,479,510
02M449,Vanguard High School,431,409,396
02M459,Manhattan International High School,438,358,382
02M460,Washington Irving High School,423,423,405
02M475,Stuyvesant High School,754,697,693
02M489,High School of Economics and Finance,469,442,447
02M500,Unity Center for Urban Technologies,375,385,387
02M507,Urban Assembly Gateway School for Technology,445,432,415
02M519,Talent Unlimited High School,485,498,496
02M520,Murry Bergtraum High School for Business Careers,418,415,398
02M529,Jacqueline Kennedy Onassis High School,418,422,415
02M531,Repertory Company High School for Theatre Arts,425,451,458
02M542,Manhattan Bridges High School,409,360,347
02M543,New Design High School,381,396,372
02M545,High School for Dual Language and Asian Studies,613,453,463
02M551,Urban Assembly New York Harbor School,446,453,428
02M580,Richard R. Green High School of Teaching,411,415,409
02M600,The High School of Fashion Industries,433,442,427
02M615,Chelsea Career and Technical Education High School,439,418,400
02M625,High School of Graphic Communication Arts,405,413,414
02M630,Art and Design High School,455,475,458
02M655,Life Sciences Secondary School,435,440,425
03M283,Manhattan Theatre Lab High School,362,376,385
03M299,"High School for Arts, Imagination and Inquiry",375,389,380
03M307,"Urban Assembly School for Media Studies, The",392,419,396
