DBN,School Name,Average Score SAT Math,Percentage of 4-year Cohort Taking SAT Math,Percentage College Ready SAT Math,Average Score SAT Critical Reading,Percentage of 4-year Cohort Taking SAT Critical Reading,Percentage College Ready SAT Critical Reading,Average Score SAT Writing,Percentage of 4-year Cohort Taking SAT Writing
01M292,Henry Street School for International Studies,410,59.7%,100.0%,406,59.7%,100.0%,381,59.7%
01M448,University Neighborhood High School,437,69.9%,100.0%,355,69.9%,100.0%,352,69.9%
01M450,East Side Community School,454,85.2%,100.0%,428,85.2%,100.0%,445,85.2%
01M509,Marta Valle High School,438,35.6%,100.0%,413,35.6%,100.0%,394,35.6%
01M539,"New Explorations into Science, Technology and Math",657,91.0%,100.0%,601,91.0%,100.0%,601,91.0%
01M696,Bard High School Early College,634,70.8%,100.0%,641,70.8%,100.0%,639,70.8%
02M047,47 The American Sign Language and English Secondar,,48.3%,100.0%,,48.3%,100.0%,,48.3%
02M135,The Urban Assembly School for Emergency Management,,,,,,,,
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,,,,,,,,
02M280,Manhattan Early College School for Advertising,,,,,,,,
02M282,Urban Assembly Maker Academy,,,,,,,,
02M288,Food and Finance High School,428,52.0%,100.0%,435,52.0%,100.0%,421,52.0%
02M294,Essex Street Academy,395,78.9%,100.0%,411,78.9%,100.0%,387,78.9%
02M296,High School of Hospitality Management,451,56.2%,100.0%,433,56.2%,100.0%,424,56.2%
02M298,Pace High School,430,87.8%,100.0%,435,87.8%,100.0%,427,87.8%
02M300,"Urban Assembly School of Design and Construction,",445,60.6%,100.0%,417,60.6%,100.0%,403,60.6%
02M303,"Facing History School, The",366,57.3%,100.0%,356,57.3%,100.0%,371,57.3%
02M305,"Urban Assembly Academy of Government and Law, The",389,80.8%,100.0%,395,80.8%,100.0%,381,80.8%
02M308,Lower Manhattan Arts Academy,418,65.1%,100.0%,428,65.1%,100.0%,415,65.1%
02M316,"Urban Assembly School of Business for Young Women,",418,75.0%,100.0%,420,75.0%,100.0%,417,75.0%
02M374,Gramercy Arts High School,446,79.6%,100.0%,459,79.6%,100.0%,455,79.6%
02M376,NYC iSchool,518,96.0%,100.0%,515,96.0%,100.0%,503,96.0%
02M392,MANHATTAN BUSINESS ACADEMY,410,69.7%,100.0%,407,69.7%,100.0%,399,69.7%
02M393,BUSINESS OF SPORTS SCHOOL,395,67.5%,100.0%,386,67.5%,100.0%,371,67.5%
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,446,70.2%,100.0%,433,70.2%,100.0%,411,70.2%
02M400,High School for Environmental Studies,469,74.0%,100.0%,454,74.0%,100.0%,444,74.0%
02M407,Institute for Collaborative Education,501,78.6%,100.0%,550,78.6%,100.0%,541,78.6%
